popularity,image,speechiness,rank,href,year,acousticness,danceability,preview,energy,tempo,instrumentalness,key,duration_ms,name,artist,liveness,explicit,mode,time_signature,loudness,valence
54,https://i.scdn.co/image/12f142ae85f44cc4d878f6167b1e2544ee424cba,0.03,38,https://open.spotify.com/track/5GInJChhrHyXmwb4tQFJJG,1965,0.401,0.464,https://p.scdn.co/mp3-preview/343a0752498a8fb59699a29150b90c1806bc2944?cid=b1f28da8553c44beb65edac3ed1abac7,0.398,98.256,0,6,152733,"Baby, I'm Yours",Barbara Lewis,0.064,0,1,4,-14.282,0.817
19,https://i.scdn.co/image/a2711c339a7f84cc44d015b25602197c4c0ac243,0.0373,39,https://open.spotify.com/track/0WhJxcxyQOIK9iaH9GmpKv,1965,0.619,0.527,https://p.scdn.co/mp3-preview/971fc2469d3843c1e94de9be5d00c4eae84144a2?cid=b1f28da8553c44beb65edac3ed1abac7,0.615,134.809,0,10,119170,Jolly Green Giant,The Kingsmen,0.164,0,1,4,-8.497,0.964
39,https://i.scdn.co/image/d04ec9bae299f029e25b5b92108e8d07980398cc,0.031,40,https://open.spotify.com/track/7piKtR55k2SsnV7I01ncNI,1965,0.782,0.335,https://p.scdn.co/mp3-preview/9f9b4ef010940fcdc9169cd8a6ead6c643422251?cid=b1f28da8553c44beb65edac3ed1abac7,0.163,84.315,0,10,152360,"Hush, Hush, Sweet Charlotte",Patti Page,0.316,0,1,4,-17.254,0.513
70,https://i.scdn.co/image/e3d720410b4a0770c1fc84bc8eb0f0b76758a358,0.032,41,https://open.spotify.com/track/3AhXZa8sUQht0UEdBJgpGc,1965,0.729,0.483,https://p.scdn.co/mp3-preview/f0eec1a1dbd31bf51cf323d2981535ec4fc5a568?cid=b1f28da8553c44beb65edac3ed1abac7,0.721,95.261,0,0,369600,Like a Rolling Stone,Bob Dylan,0.189,0,1,4,-6.836,0.562
24,https://i.scdn.co/image/1febb7c89044aba4aecb1dc0fe56345b2e08f6b0,0.0317,42,https://open.spotify.com/track/2Y4uWO8r9f3YfqBT6nCEg3,1965,0.378,0.605,https://p.scdn.co/mp3-preview/f8b30b2f1ae14d4df6f2cd93dbd34c75fa2b1c87?cid=b1f28da8553c44beb65edac3ed1abac7,0.699,71.38,0,3,128906,I'm Telling You Now,Freddie & The Dreamers,0.305,0,1,4,-6.875,0.891
45,https://i.scdn.co/image/47e3a832eff6ffb2669f3abe8a0e6cdedb6080b3,0.0289,43,https://open.spotify.com/track/4aSw1QJIMwYSoDEgzgdCJL,1965,0.255,0.405,https://p.scdn.co/mp3-preview/13b6d44f566c7ac7ba8d5cb6b2db44b4a74a13db?cid=b1f28da8553c44beb65edac3ed1abac7,0.365,104.536,4.68e-06,6,141986,Ferry Cross the Mersey - Mono; 2002 Remastered Version,Gerry & The Pacemakers,0.163,0,0,4,-10.226,0.588
29,https://i.scdn.co/image/5a3b78a1f18acf02e5992676684a03e7dd3a402b,0.0357,44,https://open.spotify.com/track/0qdTcFmL5mtPgdYqPPJubE,1965,0.623,0.258,,0.398,90.224,7.76e-05,2,229200,Just Once In My Life,The Righteous Brothers,0.341,0,1,4,-12.869,0.273
22,https://i.scdn.co/image/4f7fc1db73d0b84613281dffdf0cebee2b34e281,0.0306,47,https://open.spotify.com/track/3msjvrkCvIzUNJHULcAafN,1965,0.633,0.704,,0.377,106.251,0.494,2,169680,A Walk In The Black Forest,Horst Jankowski,0.23,0,1,4,-11.896,0.777
55,https://i.scdn.co/image/5a5e3dafa3b1ce307da5e25c48a9d5b6711ea1ba,0.0409,48,https://open.spotify.com/track/5bC4y9Zhn6ng0MOzACCHkc,1965,0.236,0.347,https://p.scdn.co/mp3-preview/ce31a2403682373e6dfe00191ae9cd0a5ba14c04?cid=b1f28da8553c44beb65edac3ed1abac7,0.638,94.506,0,2,150626,For Your Love,The Yardbirds,0.0894,0,1,4,-10.258,0.61
54,https://i.scdn.co/image/97d1770d8fa7859e78e13f16fe252d6a2d0d16e3,0.0295,49,https://open.spotify.com/track/6bJuuCtXYiwOcKT9s8uRh8,1965,0.471,0.503,,0.62,116.595,0,11,160360,California Girls,The Beach Boys,0.159,0,1,4,-6.069,0.713
